record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_quality,2026-05-23 18:21:33,SUCCESS,The Thinking Game,The Thinking Game,The Thinking Game,"app_name=""Prime Video"" app_id=""com.amazon.aiv.AIVApp"" streaming_service_label=""Prime Video"" streaming_service_badge=""App logos/AppLogo_PrimeVideo.png""","raw_title=""The Thinking Game"" raw_query=""The Thinking Game"" layer_series_title=""The Thinking Game""",
tmdb_quality,2026-05-23 18:25:25,SUCCESS,Chicken People,Chicken People,Chicken People,"app_name=""Prime Video"" app_id=""com.amazon.aiv.AIVApp"" streaming_service_label=""Prime Video"" streaming_service_badge=""App logos/AppLogo_PrimeVideo.png""","raw_title=""Chicken People"" raw_query=""Chicken People"" layer_series_title=""Chicken People""",
tmdb_quality,2026-05-23 18:33:07,SUCCESS,Freaks and Geeks,Freaks and Geeks,Freaks and Geeks,"app_name=""Prime Video"" app_id=""com.amazon.aiv.AIVApp"" streaming_service_label=""Prime Video"" streaming_service_badge=""App logos/AppLogo_PrimeVideo.png""","raw_title=""Freaks and Geeks"" raw_query=""Freaks and Geeks"" layer_series_title=""Freaks and Geeks""",
tmdb_quality,2026-05-23 18:37:52,SUCCESS,California Typewriter,California Typewriter,California Typewriter,"app_name=""Prime Video"" app_id=""com.amazon.aiv.AIVApp"" streaming_service_label=""Prime Video"" streaming_service_badge=""App logos/AppLogo_PrimeVideo.png""","raw_title=""California Typewriter"" raw_query=""California Typewriter"" layer_series_title=""California Typewriter""",
tmdb_quality,2026-06-17 19:55:22,SUCCESS,Casper,Casper,Casper,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Casper"" raw_query=""Casper"" layer_series_title=""Casper""",
tmdb_quality,2026-06-19 09:58:15,SUCCESS,Toy Story 4,Toy Story 4,Toy Story 4,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Toy Story 4"" raw_query=""Toy Story 4"" layer_series_title=""Toy Story 4""",
tmdb_quality,2026-06-29 00:25:19,SUCCESS,Doctor Sleep,Doctor Sleep,Doctor Sleep,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Doctor Sleep"" raw_query=""Doctor Sleep"" layer_series_title=""Doctor Sleep""",
tmdb_quality,2026-06-30 00:28:08,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-06-30 00:47:54,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
tmdb_quality,2026-06-30 01:10:48,SUCCESS,The End of an Era,The End of an Era,The End of an Era,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""The End of an Era"" raw_query=""The End of an Era"" layer_series_title=""The End of an Era""",
